Sum of AGE,Sum of Inventory LBS,Sum of Inventory Pallets,ITEM_NUMBER,LOT_NO,QC_GRADE,PRODUCTION_PLANT,SPEC,WHSE_CODE,SUBLOT_NO,ALLOCATED_ORDER_NUM
3,2755.75,1,310726,1012434611,101,WA002,3015A-3035A-9999A-9999C-9999E,WA011,300797736,233506-1-2-101
3,2755.75,1,310726,1012434611,101,WA002,3015A-3035A-9999A-9999C-9999E,WA011,300797737,233506-1-2-101
3,551.15,0,310726,1012434611,101,WA002,3015A-3035A-9999A-9999C-9999E,WA011,300797738,233506-1-2-101
3,2755.75,1,310726,1012434612,101,WA002,3015A-3035A-9999A-9999C-9999E,WA011,300797808,233506-1-2-101
3,2755.75,1,310726,1012434612,101,WA002,3015A-3035A-9999A-9999C-9999E,WA011,300797809,233506-1-2-101
3,2755.75,1,310726,1012434612,101,WA002,3015A-3035A-9999A-9999C-9999E,WA011,300797810,233506-1-2-101
3,2755.75,1,310726,1012434612,101,WA002,3015A-3035A-9999A-9999C-9999E,WA011,300797811,233506-1-2-101
3,2755.75,1,310726,1012434612,101,WA002,3015A-3035A-9999A-9999C-9999E,WA011,300797848,233506-1-2-101
3,2755.75,1,310726,1012434612,101,WA002,3015A-3035A-9999A-9999C-9999E,WA011,300797849,233506-1-2-101
3,2755.75,1,310726,1012434612,101,WA002,3015A-3035A-9999A-9999C-9999E,WA011,300797850,233506-1-2-101
3,2755.75,1,310726,1012434612,101,WA002,3015A-3035A-9999A-9999C-9999E,WA011,300797914,233506-1-2-101
3,2755.75,1,310726,1012434613,101,WA002,3015A-3035A-9999A-9999E,WA011,300797915,233506-1-2-101
3,2755.75,1,310726,1012434613,101,WA002,3015A-3035A-9999A-9999E,WA011,300797916,233506-1-2-101
3,2755.75,1,310726,1012434613,101,WA002,3015A-3035A-9999A-9999E,WA011,300797917,233506-1-2-101
3,2755.75,1,310726,1012434613,101,WA002,3015A-3035A-9999A-9999E,WA011,300797918,233506-1-2-101
3,2755.75,1,310726,1012434614,101,WA002,3015A-3035A-9999A-9999C-9999E,WA011,300797938,233506-1-2-101
6,2755.75,1,310726,1022514751,101,WA003,3007S-3025S-3033A-3035A-9999A-9999E,WA003,301029533,""
6,2755.75,1,310726,1022514751,101,WA003,3007S-3025S-3033A-3035A-9999A-9999E,WA003,301029536,""
6,2755.75,1,310726,1022514751,101,WA003,3007S-3025S-3033A-3035A-9999A-9999E,WA003,301029538,""
6,2755.75,1,310726,1022514751,101,WA003,3007S-3025S-3033A-3035A-9999A-9999E,WA003,301029539,""
6,2755.75,1,310726,1022514751,101,WA003,3007S-3025S-3033A-3035A-9999A-9999E,WA003,301029540,""
6,2755.75,1,310726,1022514751,101,WA003,3007S-3025S-3033A-3035A-9999A-9999E,WA003,301029541,""
6,2755.75,1,310726,1022514751,101,WA003,3007S-3025S-3033A-3035A-9999A-9999E,WA003,301029542,""
6,2755.75,1,310726,1022514751,101,WA003,3007S-3025S-3033A-3035A-9999A-9999E,WA003,301029543,""
6,2755.75,1,310726,1022514752,101,WA003,3005WGUM-3007DRYGUM-3007FO-3007S-3025S-3033A-3035A-9999A-9999C-9999CS-9999E,WA003,301029789,""
6,2755.75,1,310726,1022514752,101,WA003,3005WGUM-3007DRYGUM-3007FO-3007S-3025S-3033A-3035A-9999A-9999C-9999CS-9999E,WA003,301029791,""
6,2755.75,1,310726,1022514752,101,WA003,3005WGUM-3007DRYGUM-3007FO-3007S-3025S-3033A-3035A-9999A-9999C-9999CS-9999E,WA003,301029792,""
6,2755.75,1,310726,1022514752,101,WA003,3005WGUM-3007DRYGUM-3007FO-3007S-3025S-3033A-3035A-9999A-9999C-9999CS-9999E,WA003,301029793,""
6,2755.75,1,310726,1022514752,101,WA003,3005WGUM-3007DRYGUM-3007FO-3007S-3025S-3033A-3035A-9999A-9999C-9999CS-9999E,WA003,301029794,""
6,2755.75,1,310726,1022514752,101,WA003,3005WGUM-3007DRYGUM-3007FO-3007S-3025S-3033A-3035A-9999A-9999C-9999CS-9999E,WA003,301029795,""
6,2755.75,1,310726,1022514752,101,WA003,3005WGUM-3007DRYGUM-3007FO-3007S-3025S-3033A-3035A-9999A-9999C-9999CS-9999E,WA003,301029796,""
6,2755.75,1,310726,1022514752,101,WA003,3005WGUM-3007DRYGUM-3007FO-3007S-3025S-3033A-3035A-9999A-9999C-9999CS-9999E,WA003,301029797,""
